S&P500,NASDAQ,50SMA,13RSI
4668.4,15616.3,15608.6,55.9
4669.6,15624.3,15613.6,56.9
4665.4,15594.3,15618.1,53.8
4661.9,15579.9,15623.4,52.3
4657.9,15565.8,15628.9,50.9
4651.3,15536.9,15634.6,47.8
4652.8,15542.7,15640.6,48.4
4657.7,15557.1,15647.6,49.7
4651.4,15539.9,15654.6,48.1
4655.2,15548.3,15662.0,48.8
